0.30035143	0.52022393
0.90105428	1.56067179
0.30035143	2.60111966
0.90105428	3.64156752
0.30035143	4.68201538
0.90105428	5.72246324
0.30035143	6.76291111
0.90105428	7.80335897
1.50175713	0.52022393
2.10245999	1.56067179
1.50175713	2.60111966
2.10245999	3.64156752
1.50175713	4.68201538
2.10245999	5.72246324
1.50175713	6.76291111
2.10245999	7.80335897
2.70316284	0.52022393
3.30386569	1.56067179
2.70316284	2.60111966
3.30386569	3.64156752
2.70316284	4.68201538
3.30386569	5.72246324
2.70316284	6.76291111
3.30386569	7.80335897
3.90456855	0.52022393
4.50527140	1.56067179
3.90456855	2.60111966
4.50527140	3.64156752
3.90456855	4.68201538
4.50527140	5.72246324
3.90456855	6.76291111
4.50527140	7.80335897
5.10597426	0.52022393
5.70667711	1.56067179
5.10597426	2.60111966
5.70667711	3.64156752
5.10597426	4.68201538
5.70667711	5.72246324
5.10597426	6.76291111
5.70667711	7.80335897
6.30737996	0.52022393
6.90808282	1.56067179
6.30737996	2.60111966
6.90808282	3.64156752
6.30737996	4.68201538
6.90808282	5.72246324
6.30737996	6.76291111
6.90808282	7.80335897
7.50878567	0.52022393
8.10948852	1.56067179
7.50878567	2.60111966
8.10948852	3.64156752
7.50878567	4.68201538
8.10948852	5.72246324
7.50878567	6.76291111
8.10948852	7.80335897
