# r	g(r)
0.8365200815	0.0000000000
0.8448436644	0.0000000000
0.8531672473	0.0000000000
0.8614908302	0.0000000000
0.8698144131	0.0000000000
0.8781379960	0.0000000000
0.8864615789	0.0000000000
0.8947851618	0.0000000000
0.9031087447	0.0000000000
0.9114323276	0.0000000000
0.9197559105	0.0000000000
0.9280794934	0.0000000000
0.9364030763	0.0000000000
0.9447266592	0.0000000000
0.9530502421	0.0000000000
0.9613738250	0.0000000000
0.9696974079	0.0000000000
0.9780209908	0.0000000000
0.9863445737	0.0000000000
0.9946681566	0.0000000000
1.0029917395	0.0000000000
1.0113153224	0.0000859410
1.0196389053	0.0016621697
1.0279624882	0.0039738158
1.0362860711	0.0148450186
1.0446096540	0.0308262942
1.0529332369	0.1321119142
1.0612568198	0.2341632716
1.0695804027	0.4086942400
1.0779039856	0.7053278216
1.0862275685	1.3563783819
1.0945511514	1.8712125897
1.1028747343	2.6920233087
1.1111983172	3.6206183420
1.1195219001	4.2960194071
1.1278454830	4.8706537240
1.1361690659	5.8246698329
1.1444926488	5.8349164617
1.1528162317	6.2730926694
1.1611398146	6.3596389896
1.1694633975	5.9643873802
1.1777869804	6.0283333949
1.1861105633	5.9183772006
1.1944341462	5.3883143768
1.2027577291	5.6167498363
1.2110813120	5.1472147202
1.2194048949	4.5222946516
1.2277284778	4.4325413191
1.2360520607	4.2390334901
1.2443756436	3.5982249592
1.2526992265	2.9956618994
1.2610228094	2.7778038394
1.2693463923	2.6648076812
1.2776699752	2.1051181806
1.2859935581	1.9056687055
1.2943171410	1.7171614676
1.3026407239	1.3912661109
1.3109643068	1.4120675978
1.3192878897	1.1999052037
1.3276114726	1.0334143487
1.3359350555	1.0752162577
1.3442586384	0.8441237717
1.3525822213	0.6318113478
1.3609058042	0.6299587879
1.3692293871	0.5639067047
1.3775529700	0.3843762546
1.3858765529	0.3635357829
1.3942001358	0.4414714388
1.4025237187	0.2757481063
1.4108473016	0.2267325914
1.4191708845	0.2271481908
1.4274944674	0.1363070462
1.4358180503	0.1896782053
1.4441416332	0.1723053257
1.4524652162	0.1252721024
1.4607887991	0.1631871415
1.4691123820	0.1810756199
1.4774359649	0.0552681922
1.4857595478	0.0769536926
1.4940831307	0.0461011384
1.5024067136	0.0376889507
1.5107302965	0.0313830362
1.5190538794	0.0633375973
1.5273774623	0.0232167234
1.5357010452	0.0489549452
1.5440246281	0.0100759487
1.5523482110	0.0141090748
1.5606717939	0.0105810596
1.5689953768	0.0101371662
1.5773189597	0.0084719375
1.5856425426	0.0052620272
1.5939661255	0.0062160272
1.6022897084	0.0040953691
1.6106132913	0.0031433431
